stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,track_max_age_myr,track_final_period_days,rotation_match,nearest_or_crossing_age_myr,nearest_or_matched_period_days,rotation_match_age_myr,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_x_luminosity_erg_s,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.2,59,11.45,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.026462307715007e+19,5.1505283009509876e+19,80959.01709312663
0.2,60,11.57,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.037026369090219e+19,5.164176942858309e+19,81117.82500658344
0.2,61,11.7,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.050048063734917e+19,5.179944666513298e+19,81261.62122672841
0.2,62,11.82,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,42.91220141162573,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,6.060956946104572e+19,5.193512833824578e+19,81405.41744687338
0.2,63,11.94,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,6.073832189414609e+19,5.209775891863736e+19,81571.33616242529
0.2,64,11.94,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,6.073832189414609e+19,5.209775891863736e+19,81571.33616242529
0.2,65,12.06,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,6.085900924220118e+19,5.225474651319837e+19,81713.55220432692
0.2,66,12.31,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32914299426883e-15,6.12608197428168e+19,5.272597036126745e+19,82232.31342379755
0.2,67,12.55,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.152708424525316e+19,5.308270381416738e+19,82576.79228084814
0.2,68,12.67,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,6.162902587015579e+19,5.324377685141643e+19,82752.19206586017
0.2,69,12.79,12000.0,135.50608784994577,True,11308.5700573117,131.0,11308.5700573117,43.27548475567145,14.0157169421665,3.52742898280649e+26,1.32914299426883e-15,6.1823567605747974e+19,5.342571740749682e+19,82937.86300945395
0.2,70,13.04,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.218665530017602e+19,5.380843647348485e+19,83324.54392342365
0.2,71,13.16,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.2389535434361094e+19,5.404297744443244e+19,83567.10128377809
0.2,72,13.28,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,42.91220141162573,13.932844717094333,3.50657197707532e+26,1.31914299426883e-15,6.259028394785326e+19,5.431251235811543e+19,83829.41087217444
0.2,73,13.53,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.31914299426883e-15,6.280574318737451e+19,5.458604990926517e+19,84071.49417905587
0.2,74,13.65,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,13.93624990251534,3.50742898280649e+26,1.32828598853766e-15,6.289796712970647e+19,5.467294479986483e+19,84183.27759051172
0.2,75,13.89,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,13.972578236919912,3.51657197707532e+26,1.32914299426883e-15,6.321112728738708e+19,5.50711919865645e+19,84599.10439668928
0.2,76,14.01,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,13.97598342234092,3.51742898280649e+26,1.32914299426883e-15,6.331037303906044e+19,5.523062513591669e+19,84760.36158642329
0.2,77,14.26,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,6.3621903133858234e+19,5.5635267184695116e+19,85180.76800806692
0.2,78,14.26,12000.0,134.83526563286682,True,11408.5700573117,131.0,11408.5700573117,43.27548475567145,14.012311756745492,3.52657197707532e+26,1.32914299426883e-15,6.3621903133858234e+19,5.5635267184695116e+19,85180.76800806692
0.2,79,14.5,12000.0,134.83526563286682,True,11504.264328034324,131.0,11504.264328034324,42.91220141162573,13.899954468453,3.4982942687862705e+26,1.3195735671965676e-15,6.4022105870978466e+19,5.600481296016614e+19,85570.38742183242
0.2,80,14.5,12000.0,134.83526563286682,True,11504.264328034324,131.0,11504.264328034324,42.91220141162573,13.899954468453,3.4982942687862705e+26,1.3195735671965676e-15,6.4022105870978466e+19,5.600481296016614e+19,85570.38742183242
0.2,81,14.62,12000.0,134.17105250167043,True,11508.5700573117,131.0,11508.5700573117,42.91220141162573,13.89651638268976,3.49742898280649e+26,1.31914299426883e-15,6.420191458115413e+19,5.6244001199326e+19,85806.49038579963
