stellar_mass_msun,rotation_percentile_150Myr,initial_omega_sun,rotation_match_age_myr,matched_period_days,current_euv_flux_erg_s_cm2,current_x_flux_erg_s_cm2,current_mdot_msun_yr,cumulative_euv_fluence_erg_cm2,cumulative_x_fluence_erg_cm2,cumulative_wind_column_kg_m2
0.45,21,4.74,3737.0498574791054,54.0,76.04427386486957,29.438846354558805,1.0096260399058504e-14,2.6026203603869282e+19,2.133102384109069e+19,48610.242078204436
0.45,22,4.98,3751.3138325675095,54.0,75.98741717118081,29.393150029565618,1.0071715418581226e-14,2.6330442054206005e+19,2.169501693144439e+19,49259.220860696776
0.45,23,5.04,3751.3138325675095,54.0,76.12075916429748,29.458069135592215,1.0071715418581226e-14,2.6383236356674486e+19,2.176692306110531e+19,49369.38925349017
0.45,24,5.1,3757.315744448335,54.0,76.17407046814415,29.410050722030224,1.0073905362213664e-14,2.6645757171095134e+19,2.2093501762844164e+19,49932.00300425675
0.45,25,5.17,3765.6344538649882,54.0,76.06314713876667,29.343496724403728,1.0062167646883524e-14,2.6724019867382026e+19,2.217550512473609e+19,50086.567844645004
0.45,26,5.23,3765.6344538649882,54.0,76.06314713876667,29.47683871752039,1.0062167646883524e-14,2.679065280760216e+19,2.2260634689382736e+19,50223.51603929671
0.45,27,5.35,3769.8710708001,54.0,76.13999723726336,29.442943580748416,1.00903867875997e-14,2.693023354161905e+19,2.242607464903993e+19,50518.46531033931
0.45,28,5.47,3780.0117213715444,54.0,76.00477978139375,29.361813107226652,1.0059964835885366e-14,2.7073368337328734e+19,2.2596080376228938e+19,50802.61460857738
0.45,29,5.71,3782.4759625848073,54.0,76.12862999178469,29.475439890249515,1.0052572112245577e-14,2.7318714111659164e+19,2.2910308942382883e+19,51333.114813025866
0.45,30,5.84,3794.4456350871737,54.0,76.0789990852955,29.379676290944357,1.0111108729825652e-14,2.7452655523429695e+19,2.3048252447559926e+19,51576.803340676954
0.45,31,5.96,3795.1304198024536,54.0,76.0763612247082,29.374197657416882,1.0109739160395092e-14,2.7568397658601726e+19,2.320430804240072e+19,51838.61526850227
0.45,32,6.32,3822.8425285997773,54.0,76.10037522671627,29.419170374420155,1.0054314942800445e-14,2.8172363698285543e+19,2.3929201242826805e+19,53064.09459230711
0.45,33,6.39,3822.8425285997773,54.0,76.13083390962944,29.44962905733334,1.0056599195660423e-14,2.8226341677279646e+19,2.4007164555528184e+19,53190.311268983365
0.45,34,6.45,3822.8425285997773,54.0,76.13083390962944,29.44962905733334,1.0056599195660423e-14,2.827641632133519e+19,2.407535443846265e+19,53301.540247988974
0.45,35,6.81,3837.0498574791054,54.0,76.17761585798623,29.438846354558805,1.0103670370554326e-14,2.8627989743821046e+19,2.450116960513477e+19,54003.889656855885
0.45,36,6.87,3837.0498574791054,54.0,76.17761585798623,29.48824937296833,1.0107375356302236e-14,2.867962133059092e+19,2.456627448375832e+19,54115.66712719441
0.45,37,7.06,3844.809983529512,54.0,76.20748278366312,29.43651183924844,1.0096937037882123e-14,2.8862688844459164e+19,2.477856415744481e+19,54460.1084152493
0.45,38,7.18,3851.3138325675095,54.0,76.18918205138753,29.458069135592215,1.0087109568351479e-14,2.896108393722144e+19,2.4915334746447974e+19,54688.73155153943
0.45,39,7.42,3865.6344538649882,54.0,76.15066542772146,29.43101501335854,1.0068731092270024e-14,2.927131086438322e+19,2.5274016961910047e+19,55278.1944644137
0.45,40,7.48,3865.6344538649882,54.0,76.15066542772146,29.47683871752039,1.0068731092270024e-14,2.9318355782075744e+19,2.5347441938677236e+19,55391.412042567186
0.45,41,7.55,3865.6344538649882,54.0,76.19648913188333,29.47683871752039,1.0068731092270024e-14,2.9372213776081727e+19,2.5410834754870243e+19,55495.879784469944
0.45,42,7.67,3865.6344538649882,54.0,76.28400742083814,29.47683871752039,1.0103096638405036e-14,2.9469529173483037e+19,2.5538714455109562e+19,55702.93524786587
0.45,43,7.79,3869.8710708001,54.0,76.27333923038003,29.536111059165222,1.00903867875997e-14,2.956455903197435e+19,2.5667079862955987e+19,55900.80776403242
0.45,44,8.16,3882.4759625848073,54.0,76.34858017649015,29.585414982602252,1.0135048074830385e-14,2.9964182900959863e+19,2.6159139272910012e+19,56694.617050500005
0.45,45,8.16,3882.4759625848073,54.0,76.34858017649015,29.585414982602252,1.0135048074830385e-14,2.9964182900959863e+19,2.6159139272910012e+19,56694.617050500005
0.45,46,8.34,3894.4456350871737,54.0,76.21234107841215,29.513018284061022,1.0111108729825652e-14,3.016821376168e+19,2.6399295790454604e+19,57084.162394134415
0.45,47,8.4,3895.1304198024536,54.0,76.20321002253303,29.50753965053355,1.0109739160395092e-14,3.020985722001048e+19,2.6460422840796054e+19,57178.26912715391
0.45,48,8.52,3895.1304198024536,54.0,76.3365520156497,29.50753965053355,1.0109739160395092e-14,3.0304494638122615e+19,2.6579129202880668e+19,57367.71633931005
0.45,49,8.77,3908.691845929525,54.0,76.3006531304386,29.543973068893987,1.0083485492733902e-14,3.0584507055209005e+19,2.6922075668837458e+19,57911.511329909044
0.45,50,9.01,3922.8425285997773,54.0,76.2641759027461,29.55251236753682,1.0140609425640579e-14,3.091344740554656e+19,2.7326335968128344e+19,58553.19239773089
0.45,51,9.19,3932.353788043629,54.0,76.28337536964641,29.519558535885363,1.0119115529890928e-14,3.107159572300351e+19,2.751190879121851e+19,58854.76603103345
0.45,52,9.38,3937.0498574791054,54.0,76.22701887639575,29.48824937296833,1.0111080342050147e-14,3.122295821510284e+19,2.770010561097893e+19,59134.909574708654
0.45,53,9.5,3937.0498574791054,54.0,76.36036086951242,29.572188347675468,1.0114785327798058e-14,3.13104922690725e+19,2.7813110980719624e+19,59301.837528082135
0.45,54,9.5,3937.0498574791054,54.0,76.36036086951242,29.572188347675468,1.0114785327798058e-14,3.13104922690725e+19,2.7813110980719624e+19,59301.837528082135
0.45,55,9.62,3937.0498574791054,54.0,76.36036086951242,29.572188347675468,1.0118490313545968e-14,3.1384489127536087e+19,2.7922265288854143e+19,59471.28437370961
0.45,56,9.62,3937.0498574791054,54.0,76.36036086951242,29.572188347675468,1.0118490313545968e-14,3.1384489127536087e+19,2.7922265288854143e+19,59471.28437370961
0.45,57,9.86,3951.3138325675095,54.0,76.32252404450419,29.52649202268228,1.0097372334864982e-14,3.159299592551372e+19,2.8156797599329333e+19,59850.674462357696
0.45,58,9.86,3951.3138325675095,54.0,76.32252404450419,29.52649202268228,1.0097372334864982e-14,3.159299592551372e+19,2.8156797599329333e+19,59850.674462357696
0.45,59,9.99,3951.3138325675095,54.0,76.32252404450419,29.52649202268228,1.0097372334864982e-14,3.1662027399104578e+19,2.8261281079320863e+19,60015.065325250354
0.45,60,10.11,3957.315744448335,54.0,76.30741246126081,29.543392715146886,1.0128052766654995e-14,3.1783299157139866e+19,2.839891910276918e+19,60228.28466079448
0.45,61,10.23,3957.315744448335,54.0,76.38383841727787,29.543392715146886,1.0128052766654995e-14,3.1876258843461747e+19,2.851768858415302e+19,60408.31917031726
0.45,62,10.47,3969.8710708001,54.0,76.36650670879683,29.57628557386508,1.0160257858399799e-14,3.213121869268696e+19,2.883510255146116e+19,60897.74405478021
0.45,63,10.66,3980.0117213715444,54.0,76.2714637676271,29.495155100343315,1.013997655725691e-14,3.22805002247589e+19,2.900773884130244e+19,61172.15185659789
0.45,64,10.72,3980.0117213715444,54.0,76.2714637676271,29.495155100343315,1.013997655725691e-14,3.2306589535107154e+19,2.9056908775402357e+19,61228.097779292
0.45,65,11.45,3995.1304198024536,54.0,76.46989400876636,29.64088164365021,1.0114608740592639e-14,3.2989863693116797e+19,2.9921675361687843e+19,62536.74524738718
0.45,66,11.57,4008.691845929525,54.0,76.42240524295421,29.543973068893987,1.0083485492733902e-14,3.311194398056271e+19,3.006554300907379e+19,62770.71963442919
